,acousticness,album_names,artist_name,audio_mode,audio_valence,danceability,energy,instrumentalness,key,liveness,loudness,song_duration_ms,song_name,song_popularity,speechiness,tempo,time_signature,yt_max_views
8724,0.662,Spotify Singles,Ledisi,0.0,0.934,0.605,0.32799999999999996,0.0,9.0,0.41,-12.120999999999999,220546.0,Add To Me - Recorded At Spotify Studios NYC,50.0,0.15,169.175,4.0,1100000.0
8725,0.389,I Feel a Change,Charles Bradley,0.0,0.319,0.485,0.531,6.31e-05,5.0,0.0925,-5.212999999999999,266120.0,I Feel a Change,55.0,0.0364,80.48899999999998,3.0,14000000.0
8726,0.226,Open Your Eyes ii,Victory,1.0,0.255,0.4270000000000001,0.606,0.0,1.0,0.152,-8.027999999999999,260453.0,Open Your Eyes ii,40.0,0.0605,88.97,4.0,46000.0
8727,0.19,Remind Me,Emily King,1.0,0.37799999999999995,0.857,0.5870000000000001,0.0004969999999999999,11.0,0.231,-7.6270000000000024,245346.0,Remind Me,46.0,0.0826,98.001,4.0,471000.0
8728,0.456,Evergreen,YEBBA,1.0,0.535,0.705,0.34700000000000003,0.000796,9.0,0.0515,-6.516,192933.0,Evergreen,15.0,0.0502,72.916,4.0,3900000.0
8729,0.8859999999999999,Spotify Singles,PJ Morton,0.0,0.327,0.433,0.218,0.0,3.0,0.107,-10.282,211202.0,First Began - Recorded at Spotify Studios NYC,52.0,0.127,66.998,4.0,2900000.0
8730,0.191,The Light Of The Sun (Deluxe),Jill Scott,1.0,0.436,0.474,0.5760000000000001,0.000352,7.0,0.32,-6.5020000000000024,287293.0,Rolling Hills,45.0,0.225,74.066,4.0,990000.0
8731,0.8440000000000001,Deeper,Tamia,1.0,0.316,0.484,0.293,2.3e-06,9.0,0.10400000000000001,-8.164,236545.0,Deeper,50.0,0.0377,134.002,4.0,40000.0
8732,0.259,All Blue,Jade Novah,1.0,0.175,0.46,0.32,0.0,7.0,0.114,-8.158999999999999,247275.0,Try,47.0,0.0336,131.701,4.0,123000.0
8733,0.17300000000000001,Brown Eyed Lover,Allen Stone,1.0,0.638,0.62,0.852,0.0,4.0,0.10099999999999999,-4.399,238819.0,Brown Eyed Lover,53.0,0.10800000000000001,80.91,4.0,5200000.0
8734,0.605,The Gospel According To Jazz - Chapter III,Kirk Whalum,0.0,0.264,0.33799999999999997,0.62,1.04e-06,6.0,0.983,-7.925,383586.0,Make Me A Believer,49.0,0.0428,64.763,4.0,289000.0
8735,0.633,Spotify Singles,Ledisi,0.0,0.34600000000000003,0.46399999999999997,0.162,0.0,7.0,0.0943,-11.478,255320.0,A Change Is Gonna Come - Recorded At Spotify Studios NYC,50.0,0.0325,136.013,3.0,1600000.0
8736,0.0946,The Transition of Mali,Mali Music,0.0,0.621,0.688,0.578,0.0,11.0,0.303,-7.5470000000000015,246973.0,Cryin',48.0,0.36,78.024,4.0,909000.0
8737,0.737,Esperanza,Esperanza Spalding,0.0,0.79,0.578,0.43799999999999994,0.00877,2.0,0.09699999999999999,-11.482999999999999,225200.0,I Know You Know,58.0,0.0696,89.083,4.0,5200000.0
8738,0.212,Chasing Goosebumps,The PLAYlist,1.0,0.21,0.618,0.7290000000000001,1.21e-06,7.0,0.136,-5.8870000000000005,243716.0,FIRST TIME AGAIN,46.0,0.0783,119.854,4.0,3900000.0
8739,0.934,I Won't Mind,Raveena,0.0,0.0838,0.479,0.106,1.82e-05,10.0,0.284,-13.497,216000.0,I Won't Mind,55.0,0.0426,144.407,4.0,665000.0
